2020-11-20 17:16:29:892 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-20 17:16:29:898 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-20 17:16:29:899 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-20 17:16:30:062 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-20 17:16:30:155 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-20 17:16:30:169 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@576f63f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2dca0d64, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f80945f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@ff684e1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@23aa363a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5ef6ae06, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55dfebeb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6e35bc3d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1cdc4c27, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@77b14724, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5d9b7a8a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1e8ce150]
2020-11-20 17:16:30:786 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 11984 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-20 17:16:30:786 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-20 17:16:32:092 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-20 17:16:35:708 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-20 17:16:36:004 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-20 17:16:36:793 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-20 17:16:37:105 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2020-11-20 17:16:37:178 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79e2606f, org.springframework.security.web.context.SecurityContextPersistenceFilter@2c08c787, org.springframework.security.web.header.HeaderWriterFilter@a047bdb, org.springframework.web.filter.CorsFilter@734cf881, org.springframework.security.web.authentication.logout.LogoutFilter@16e907b6, com.softwarelab.application.config.rest.RestLoginProcessingFilter@4a890fdd, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@56299b0e, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@3ca278bc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@284c4f02, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3ea84e01, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@283e1759, org.springframework.security.web.session.SessionManagementFilter@7856f41a, org.springframework.security.web.access.ExceptionTranslationFilter@376498da, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@537b3be1]
2020-11-20 17:16:37:511 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 17:16:38:091 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 7.636 seconds (JVM running for 8.855)
2020-11-20 17:16:52:772 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-20 17:16:52:774 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-20 17:16:52:777 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-20 17:28:55:472 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-20 17:28:55:480 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-20 17:28:55:481 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-20 17:28:55:649 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
