2020-11-21 00:13:35:537 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-21 00:13:35:540 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-21 00:13:35:542 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-21 00:14:02:514 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-21 00:14:02:521 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-21 00:14:02:522 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-21 00:14:02:682 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-21 00:14:02:783 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-21 00:14:02:799 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ef6ae06, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@55dfebeb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e35bc3d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1cdc4c27, org.springframework.test.context.support.DirtiesContextTestExecutionListener@77b14724, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d9b7a8a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e8ce150, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@604f2bd2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1d3ac898, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1b73be9f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@628c4ac0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7b84fcf8]
2020-11-21 00:14:03:397 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 14526 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-21 00:14:03:398 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-21 00:14:04:978 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-21 00:14:05:335 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-21 00:14:05:624 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-21 00:14:06:470 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-21 00:14:06:838 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2020-11-21 00:14:06:897 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@77cc6a28, org.springframework.security.web.context.SecurityContextPersistenceFilter@5996d6f2, org.springframework.security.web.header.HeaderWriterFilter@6c66ddab, org.springframework.web.filter.CorsFilter@b339a08, org.springframework.security.web.authentication.logout.LogoutFilter@351d93bd, com.softwarelab.application.config.rest.RestLoginProcessingFilter@1d556461, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@5a583720, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@4ed19b69, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f3f57ff, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d18338b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59a5bb61, org.springframework.security.web.session.SessionManagementFilter@45fb2354, org.springframework.security.web.access.ExceptionTranslationFilter@299a43d9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6b3b2c34]
2020-11-21 00:14:07:213 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 00:14:07:807 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 4.703 seconds (JVM running for 5.886)
2020-11-21 00:14:21:684 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-21 00:14:21:687 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-21 00:14:21:689 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-21 00:14:35:255 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-21 00:14:35:262 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-21 00:14:35:262 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-21 00:14:35:419 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-21 00:14:35:522 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-21 00:14:35:538 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ef6ae06, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@55dfebeb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e35bc3d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1cdc4c27, org.springframework.test.context.support.DirtiesContextTestExecutionListener@77b14724, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d9b7a8a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e8ce150, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@604f2bd2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1d3ac898, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1b73be9f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@628c4ac0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7b84fcf8]
2020-11-21 00:14:36:088 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 14538 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-21 00:14:36:088 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-21 00:14:37:395 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-21 00:14:37:638 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-21 00:14:37:901 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-21 00:14:38:656 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-21 00:14:38:940 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
